"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_Galan","mean_Female_Galan","mean_other_Galan","sd_Male_Galan","sd_Female_Galan","sd_other_Galan","mean_Fruits_galan","mean_Seeds_galan","mean_Leaves_galan","mean_Flowers_galan","mean_Animal_galan","sd_Fruits_galan","sd_Seeds_galan","sd_Leaves_galan","sd_Flowers_galan","sd_Animals_galan","IVSO_prop","IVSOint","superfamily"
"312","pop","Eulemur_mongoz","Mongoose Lemur","Anjamena, Madagascar","Forest",0,1,"closed",1,"Cathemeral_Diurnal_Nocturnal",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"none","MF","MF",1,"groups","one","none","AR",1.41,1.56,1.375,NA,NA,0.148492424,59,NA,37,2,2,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"314","pop","Eulemur_rubriventer","Red-bellied Lemur","Ranomafana, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,39,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,47,3,"wp","MF","MF",0.829787234,"groups","one","none","AR",2.067,1.96,1.98,NA,NA,NA,75.25,0.04,7.825,7.65,NA,18.03122292,NA,3.995153314,NA,NA,0.170212766,8,"Lemuroidea"
"316","pop","Eulemur_rufifrons","Red-fronted Brown Lemur","Kirindy Forest, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,2,"none","FFMM","FFMM",1,"groups","one","none","AR",2.178,2.251,2.15,NA,NA,NA,59.25,NA,29.35,9.45,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"318","pop","Eulemur_rufus","Rufous Brown Lemur","Ranomafana, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,1,"none","FFMM","FFMM",1,"groups","one","none","AR",2.165,2.27,2.01,0.021213203,0.028284271,0.36373067,66.8,NA,23.4,4,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"319","pop","Eulemur_rufus","Rufous Brown Lemur","Kirindy Forest, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,2,24,NA,NA,NA,NA,NA,NA,NA,26,2,"wp","FFMM","FFMM",0.923076923,"groups","one","none","AR",2.165,2.27,2.01,0.021213203,0.028284271,0.36373067,66.8,NA,23.4,4,NA,NA,NA,NA,NA,NA,0.076923077,2,"Lemuroidea"
"335","pop","Galagoides_zanzibaricus","Kenya Coast Dwarf Galago","Gedi Ruins National Monument, Monbasa","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,4,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,9,1,"wp","MF","MFF",0.444444444,"solitary"," ","none","AR",0.15,0.137,0.14,NA,NA,NA,6.5,NA,NA,NA,47.5,2.121320344,NA,NA,NA,6.363961031,0.555555556,5,"Lorisoidea"
"337","pop","Gorilla_beringei","Mountain Gorilla","Mount Visoke, Parc des Volcans, Central Africa","Forest",0,1,"closed",1,"Diurnal",NA,NA,2,NA,NA,NA,NA,8,4,26,NA,7,NA,NA,NA,NA,NA,38,9,"wp","FFMM","FFMM",0.684210526,"groups","ff","yes","BOTH",162.5,97.5,NA,NA,NA,NA,5.7,NA,17.9,0.71,NA,NA,NA,NA,NA,NA,0.315789474,12,"Hominoidea"
"338","pop","Gorilla_beringei","Mountain Gorilla","Bwindi Impenetrable National Park, Uganda","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,7,NA,NA,NA,NA,NA,NA,NA,10,3,"wp","FFMM","FFMM",0.7,"groups","ff","yes","BOTH",162.5,97.5,NA,NA,NA,NA,5.7,NA,17.9,0.71,NA,NA,NA,NA,NA,NA,0.3,3,"Hominoidea"
"340","pop","Gorilla_gorilla","Western Lowland Gorilla","Kahuzi-Biega National Park, Congo","Forest",0,1,"closed",1,"Diurnal",NA,NA,1,NA,NA,NA,NA,13,NA,4,3,NA,NA,1,NA,NA,NA,18,1,"wp","MFF","MFF",0.722222222,"groups","ff","yes","BOTH",NA,NA,NA,NA,NA,NA,14.7,NA,2,NA,NA,NA,NA,NA,NA,NA,0.277777778,5,"Hominoidea"
"341","pop","Gorilla_gorilla","Western Lowland Gorilla","Bai Hoku, Central Africa","Forest",0,1,"closed",1,"Diurnal",NA,NA,2,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,4,5,"wp","MFF","MFF",0.5,"groups","one","none","BOTH",NA,NA,NA,NA,NA,NA,14.7,NA,2,NA,NA,NA,NA,NA,NA,NA,0.5,2,"Hominoidea"
