"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_all","mean_Female_all","mean_other_all","sd_Male_all","sd_Female_all","sd_other_all","mean_Fruits_all","mean_Seeds_all","mean_Leaves_all","mean_Flowers_all","mean_Animal_all","sd_Fruits_all","sd_Seeds_all","sd_Leaves_all","sd_Flowers_all","sd_Animals_all","IVSO_prop","IVSOint","superfamily"
"513","pop","Macaca_nigra","Crested black Macaque","Tangkoko Nature Reserve, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,3,"none","FFMM","FFMM",1,"groups","one","none","T",9.89,5.47,7.68,NA,NA,NA,65.05,2.4,NA,NA,32,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"518","pop","Macaca_radiata","Bonnet Macaque","Ghats, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,3,"none","FFMM","FFMM",1,"groups","one","none","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"519","pop","Macaca_radiata","Bonnet Macaque","Mysore, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,31,NA,NA,NA,NA,NA,NA,NA,34,4,"wp","FFMM","FFMM",0.911764706,"groups","one","yes","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0.088235294,2,"Cercopithecoidea"
"520","pop","Macaca_radiata","Bonnet Macaque","Indira Gandhi Wildlife Sanctuary, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,5,2,"wp","FFMM","FFMM",0.8,"groups","ff","yes","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0.2,0,"Cercopithecoidea"
"521","pop","Macaca_radiata","Bonnet Macaque","Chamundi Temple, India","Artificial_Forest_Rocky",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,1,"none","FFMM","FFMM",1,"groups"," ","none","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"522","pop","Macaca_radiata","Bonnet Macaque","Bangalore, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,7,3,"none","FFMM","FFMM",1,"groups","one","none","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"523","pop","Macaca_radiata","Bonnet Macaque","Kalakad Mundanthurai Tiger Reserve, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,"none","FFMM","FFMM",1,"groups","one","none","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"524","pop","Macaca_radiata","Bonnet Macaque","Mudumalai Wildlife Sanctuary, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"525","pop","Macaca_radiata","Bonnet Macaque","Anaimalai Wildlife Sanctuary, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"526","pop","Macaca_radiata","Bonnet Macaque","Dharwar, India","Artificial_Forest_Grassland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,12,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"528","pop","Macaca_siberu","Siberut Macaque","Siberut Island, Indonesia","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","AR",7.5,5.25,6.165,NA,NA,0.304055916,62.75,NA,4.4,0.2,11.9,18.03122292,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"530","pop","Macaca_silenus","Lion-tailed Macaque / Ouanderou Macaque","Ghats, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,5,NA,11,NA,NA,NA,NA,NA,NA,NA,16,4,"wp","FFMM","FFMM",0.6875,"groups","one","none","AR",8.9,6.1,NA,NA,NA,NA,61.9,31,7.1,NA,NA,NA,NA,NA,NA,NA,0.3125,5,"Cercopithecoidea"
"531","pop","Macaca_silenus","Lion-tailed Macaque / Ouanderou Macaque","Indira Gandhi Wildlife Sanctuary, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,6,1,"wp","FFMM","FFMM",0.666666667,"groups","one","none","AR",8.9,6.1,NA,NA,NA,NA,61.9,31,7.1,NA,NA,NA,NA,NA,NA,NA,0.333333333,1,"Cercopithecoidea"
"533","pop","Macaca_sinica","Toque Macaque","Poionnaruwa, Sri Lanka","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","ff","none","AR",5.66,3.3,4.48,NA,NA,NA,66,1,11,1,5,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"535","pop","Macaca_sylvanus","Barbary Macaques","Ifrane National Park, Middle Atlas Mountain, Morroco","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,7,4,"none","FFMM","FFMM",1,"groups","one","none","BOTH",16.325,10.6,13.5,0.459619408,0.565685425,NA,33,NA,16,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"536","pop","Macaca_sylvanus","Barbary Macaques","Upper Rock, Gibraltar","Grassland_Rocky",1,0,"open",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",16.325,10.6,13.5,0.459619408,0.565685425,NA,33,NA,16,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"537","pop","Macaca_sylvanus","Barbary Macaques","Djurdjura National Park, Algeria","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,1,138,NA,NA,NA,NA,NA,NA,NA,141,1,"wp","FFMM","FFMM",0.978723404,"groups","ff","none","BOTH",16.325,10.6,13.5,0.459619408,0.565685425,NA,33,NA,16,NA,NA,NA,NA,NA,NA,NA,0.021276596,3,"Cercopithecoidea"
"538","pop","Macaca_sylvanus","Barbary Macaques","Ghomaran, Morocco","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,6,1,"wp","FFMM","FFMM",0.833333333,"groups","ff","none","BOTH",16.325,10.6,13.5,0.459619408,0.565685425,NA,33,NA,16,NA,NA,NA,NA,NA,NA,NA,0.166666667,1,"Cercopithecoidea"
"540","pop","Macaca_thibetana","Tibetan Macaques","Mount Huangshan National Reserve, China","Grassland_Rocky",1,0,"open",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,18,11,"none","FFMM","FFMM",1,"groups","ff","yes","T",16.75,11.15,NA,2.192031022,2.333452378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"541","pop","Macaca_thibetana","Tibetan Macaques","Mount Emei, China","Grassland_Rocky",1,0,"open",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,3,"none","FFMM","FFMM",1,"groups","one","none","T",16.75,11.15,NA,2.192031022,2.333452378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"543","pop","Macaca_tonkeana","Tonkean Macaque","Lore Lindu National Park, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",12.71,8.135,NA,3.097127702,1.223294731,NA,74.7,NA,6,0.8,10.1,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"545","pop","Mandrillus_leucophaeus","Drill","Korup National Park, Nigeria","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,3,1,"wp","FFMM","FFMM",0.666666667,"groups","ff","yes","BOTH",26.4625,10.8,20.375,7.041706114,2.424527445,7.601397898,48.35,NA,16,NA,49,13.64716088,NA,NA,NA,29.69848481,0.333333333,0,"Cercopithecoidea"
"547","pop","Mandrillus_sphinx","Mandrill","Bakoumba, Gabon","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,"none","FFMM","FFMM",1,"groups","one","none","AR",28.127,10.43925,23.6,6.509560866,1.648846743,NA,72.96666667,34.4,5.533333333,0.8,5.833333333,22.82681172,NA,0.472581563,NA,1.530795,0,0,"Cercopithecoidea"
